id,name,approach_date,absolute_magnitude_h,est_diameter_min_km,est_diameter_max_km,is_potentially_hazardous,relative_velocity_kph,miss_distance_km,miss_distance_lunar,orbiting_body,avg_diameter_km,approach_month,size_category
3557958,(2011 DT9),2025-08-26,25.2,0.0242412481,0.0542050786,False,23586.245665216,27889391.239528567,72.5209068296,Earth,0.03922316335,2025-08,small
3738913,(2015 YC1),2025-08-26,26.0,0.0167708462,0.0375007522,False,25991.956080936,53736648.06051545,139.7316425397,Earth,0.0271357992,2025-08,small
3838894,(2019 ET),2025-08-26,24.5,0.0334622374,0.0748238376,False,56460.3339125606,37790651.80801107,98.2671982784,Earth,0.0541430375,2025-08,medium
3010679,(1997 QK1),2025-08-20,20.26,0.235806068,0.5272783976,True,35396.021479432,3011710.616910327,7.8313643769,Earth,0.3815422328,2025-08,large
3827309,(2018 RS1),2025-08-20,23.8,0.046190746,0.1032856481,False,72805.5083050196,70174275.49749114,182.4744775345,Earth,0.07473819705,2025-08,medium
3827310,(2018 RW1),2025-09-02,23.41,0.0552783379,0.1236061213,False,25778.675700616,24083201.999180447,62.6236561903,Earth,0.0894422296,2025-09,medium
3840783,(2019 GE1),2025-09-02,27.0,0.0105816886,0.023661375,False,19958.7293918922,25422188.041908693,66.1054274924,Earth,0.0171215318,2025-09,small
3014184,(1998 SD9),2025-09-01,24.09,0.0404161533,0.0903732663,False,82121.8004778265,53177127.26826797,138.2767181602,Earth,0.0653947098,2025-09,medium
3136724,(2002 RS129),2025-09-01,22.91,0.0695913044,0.1556108872,False,56380.8760003184,24283268.580598325,63.1438902028,Earth,0.1126010958,2025-09,medium
3404165,(2008 DL4),2025-09-01,26.9,0.0110803882,0.0247765013,False,17062.0253087011,25169587.92447227,65.4485902949,Earth,0.01792844475,2025-09,small
3689354,(2014 SN142),2025-09-01,28.2,0.0060891262,0.0136157002,False,80793.3848785826,46814825.3305286,121.73279642,Earth,0.0098524132,2025-09,small
3840866,(2019 GJ4),2025-09-01,26.02,0.0166170902,0.0371569432,False,39845.7059736262,31782648.02595411,82.6445595923,Earth,0.026887016700000002,2025-09,small
3125000,(2002 JC9),2025-08-27,18.5,0.5303407233,1.1858779086,False,132362.494168896,58114179.40655718,151.1145565719,Earth,0.85810931595,2025-08,large
3681964,(2014 PS59),2025-08-27,20.59,0.2025606009,0.4529392731,True,53731.5292820956,9462534.86521393,24.605471071,Earth,0.327749937,2025-08,large
2098943,98943 Torifune (2001 CC21),2025-08-28,18.71,0.4814541966,1.0765643117,False,15623.9222338658,19921804.25523161,51.8027553152,Earth,0.77900925415,2025-08,large
3559596,(2011 EM40),2025-08-28,28.0,0.0066765941,0.0149293183,False,59394.4322899734,29566974.154136773,76.8831330684,Earth,0.0108029562,2025-08,small
3788075,(2017 UP6),2025-08-28,26.1,0.0160160338,0.0358129403,False,100244.8274791039,73813757.17992991,191.938237777,Earth,0.025914487049999997,2025-08,small
3879168,(2019 TZ6),2025-08-28,27.7,0.0076657557,0.0171411509,False,31695.1970836596,53535138.308445685,139.2076558442,Earth,0.012403453299999999,2025-08,small
3261681,(2004 VJ1),2025-08-29,24.1,0.040230458,0.0899580388,False,46960.959262775,41189801.16130256,107.1060213073,Earth,0.0650942484,2025-08,medium
3756945,(2016 PB8),2025-08-29,22.5,0.0840533402,0.1879489824,False,56186.6902704292,51636500.57533371,134.2706197876,Earth,0.1360011613,2025-08,medium
3761354,(2016 UR5),2025-08-29,26.7,0.0121494041,0.0271668934,False,41537.0810180185,63395638.30432418,164.8479573966,Earth,0.01965814875,2025-08,small
3781451,(2017 RK15),2025-08-29,25.68,0.0194336768,0.0434550225,False,47530.9674945058,6039668.355371365,15.7049762155,Earth,0.03144434965,2025-08,small
3878570,(2019 TZ1),2025-08-29,24.0,0.0421264611,0.0941976306,False,17230.1738734443,73486448.75388314,191.0871362357,Earth,0.06816204584999999,2025-08,medium
3014109,(1998 SH2),2025-08-30,20.88,0.1772372393,0.3963145151,True,62280.7041469583,3108484.072793349,8.0830048203,Earth,0.2867758772,2025-08,large
3837805,(2019 AU9),2025-08-30,26.7,0.0121494041,0.0271668934,False,20843.8501245694,44769330.88398757,116.4138882049,Earth,0.01965814875,2025-08,small
3838137,(2019 CB2),2025-08-30,26.0,0.0167708462,0.0375007522,False,64345.9293539017,26233309.44334377,68.2145900437,Earth,0.0271357992,2025-08,small
3843107,(2019 NC1),2025-08-30,21.4,0.1394938229,0.3119176705,False,36968.6352505032,35185636.12042894,91.4933645168,Earth,0.22570574670000002,2025-08,large
2875163,875163 (1998 SH2),2025-08-30,20.88,0.1772372393,0.3963145151,True,62280.702824472,3108484.327109728,8.0830054816,Earth,0.2867758772,2025-08,large
3278402,(2005 KA),2025-08-31,24.7,0.0305179233,0.0682401509,False,22937.1079401631,40098761.85962631,104.2689870076,Earth,0.0493790371,2025-08,small
3686085,(2014 QN433),2025-08-31,22.4,0.0880146521,0.1968067451,False,35144.732029319,70671705.00564492,183.7679456746,Earth,0.1424106986,2025-08,medium
3689239,(2014 SG1),2025-08-31,29.1,0.0040230458,0.0089958039,False,83278.9354879195,55689195.6001304,144.8088605035,Earth,0.00650942485,2025-08,small
3785693,(2017 TP2),2025-08-31,24.5,0.0334622374,0.0748238376,False,64015.2983390969,51262746.42378909,133.2987452218,Earth,0.0541430375,2025-08,medium
3799253,(2018 CA1),2025-08-31,25.2,0.0242412481,0.0542050786,False,50784.427672731,56594114.25270422,147.1619244599,Earth,0.03922316335,2025-08,small
3831194,(2018 TY),2025-08-31,22.44,0.0864082036,0.1932146172,False,31869.0211103545,72798705.17385358,189.2987935766,Earth,0.1398114104,2025-08,medium
3445666,(2009 CA3),2025-09-03,20.14,0.2492039814,0.5572370428,False,41673.7064381519,26775482.17843585,69.6244041938,Earth,0.4032205121,2025-09,large
3654483,(2013 XY20),2025-09-03,25.64,0.0197949759,0.0442629117,False,10548.4391760949,28415413.253937367,73.8887241896,Earth,0.0320289438,2025-09,small
54554706,(2025 US6),2025-09-03,31.008,0.0016709174,0.0037362848,False,5629.5006539618,381125.227553976,0.9910416072,Earth,0.0027036011,2025-09,small
2523661,523661 (2012 LF11),2025-09-07,20.79,0.1847374636,0.4130855266,False,93479.5368830909,59480328.20381749,154.6669593042,Earth,0.2989114951,2025-09,large
3160742,(2003 SU84),2025-09-07,22.2,0.096506147,0.2157943048,False,52053.7667938391,23355183.306594823,60.7305859787,Earth,0.1561502259,2025-09,medium
3545713,(2010 RJ43),2025-09-07,23.7,0.0483676488,0.1081533507,False,38591.532708975,37963457.4538148,98.71654556,Earth,0.07826049975,2025-09,medium
3612172,(2012 UY9),2025-09-07,24.54,0.0328514828,0.0734581487,False,29359.9435612614,9846522.438573338,25.6039556486,Earth,0.05315481575,2025-09,medium
